_id,userId,classId,courseId,lessonId,subjectId,timeSpent,numberOfCorrectAnswers,numberOfWrongAnswers,numberOfSkippedQuestions,score,remark,createdAt,updatedAt,__v
5fc8fe4edc422b3a2cb7b606,5fd66fb678385d3c8098f880,5fc8d2a4b55ab52a40d75a54,5fc8cfbb81a55b4c3c19737d,5fd304b5a3181bf4ca54f89c,5fff5bab3fd2d54b08047c82,40,2,3,1,80,You can do better,2020-12-03T15:03:42.102Z,2020-12-03T15:03:42.102Z,0
5fcf72eb621bce30441384b9,,,,,,,,,,,,2020-12-08T12:34:51.646Z,2020-12-08T12:34:51.646Z,0
5fcf792a7cd91b0eb41249fb,,,,5fc8e7134bfe993c34a9689c,,,,,,,,2020-12-08T13:01:30.955Z,2020-12-08T13:01:30.955Z,0
5fcf7b08df08090a90217528,,,,5fc8e7134bfe993c34a9689c,,,,,,,,2020-12-08T13:09:28.418Z,2020-12-08T13:09:28.418Z,0
5fcf7b15e0027a1d54047779,,,,5fc8e7134bfe993c34a9689c,,,,,,,,2020-12-08T13:09:41.642Z,2020-12-08T13:09:41.642Z,0
5fcf7b3c545a1429e4c6b740,5fcb4baab0b59934d80e83ed,,,5fc8e7134bfe993c34a9689c,,,,,,,,2020-12-08T13:10:20.245Z,2020-12-08T13:10:20.245Z,0
5fcf7cc2e126952f2cac91ad,5fcb4baab0b59934d80e83ed,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,,5fc8e7134bfe993c34a9689c,2,3,2,2,You can be better,2020-12-08T13:16:50.495Z,2020-12-08T13:16:50.495Z,0
5fcf844161c5b52614090d01,5fcb4baab0b59934d80e83ed,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,,5fc8e7134bfe993c34a9689c,2,3,2,2,You can be better,2020-12-08T13:48:49.252Z,2020-12-08T13:48:49.252Z,0
5fcf8647d8a53e48c0e5bfe7,5fcf8634d8a53e48c0e5bfdb,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf8634d8a53e48c0e5bfdd,,5fc8e7134bfe993c34a9689c,2,3,2,2,You can be better,2020-12-08T13:57:27.723Z,2020-12-08T13:57:27.723Z,0
5fcf89091ca0ec3ba8b11ed5,5fcf88fa1ca0ec3ba8b11ec9,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf88fa1ca0ec3ba8b11ecb,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:09:13.397Z,2020-12-08T14:09:13.397Z,0
5fcf89427b32605338d6dce3,5fcf89367b32605338d6dcd7,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf89367b32605338d6dcd9,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:10:10.631Z,2020-12-08T14:10:10.631Z,0
5fcf89675cfc9c30785642ca,5fcf89575cfc9c30785642be,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf89575cfc9c30785642c0,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:10:47.122Z,2020-12-08T14:10:47.122Z,0
5fcf89c422df9736acf81f1a,5fcf89b022df9736acf81f0e,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf89b022df9736acf81f10,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:12:20.106Z,2020-12-08T14:12:20.106Z,0
5fcf8a3248fb51342c089556,5fcf8a2548fb51342c08954a,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf8a2548fb51342c08954c,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:14:10.836Z,2020-12-08T14:14:10.836Z,0
5fcf8a4121f8dc17f07df97b,5fcb4baab0b59934d80e83ed,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,,5fc8e7134bfe993c34a9689c,2,3,2,2,You can be better,2020-12-08T14:14:25.913Z,2020-12-08T14:14:25.913Z,0
5fcf8b60a06df815a2e462a7,5fcf8b5ea06df815a2e4629b,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf8b5ea06df815a2e4629d,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:19:12.344Z,2020-12-08T14:19:12.344Z,0
5fcf8cfc8701a815adc55fae,5fcf8cfa8701a815adc55fa2,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf8cfa8701a815adc55fa4,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:26:04.156Z,2020-12-08T14:26:04.156Z,0
5fcf8de1a5bc8b23e8ed576a,5fcf8dd4a5bc8b23e8ed575e,5fc8e7134bfe993c34a9689c,5fc8e7134bfe993c34a9689c,5fcf8dd4a5bc8b23e8ed5760,,20:00:00,2,3,2,2,You can be better,2020-12-08T14:29:53.576Z,2020-12-08T14:29:53.576Z,0
